time_iso8601,forks_cumulative
2024-02-14 00:00:00+00:00,311
2024-02-20 00:00:00+00:00,312
2024-02-22 00:00:00+00:00,313
2024-02-23 00:00:00+00:00,314
2024-03-01 00:00:00+00:00,315
2024-03-02 00:00:00+00:00,316
2024-03-04 00:00:00+00:00,317
2024-03-05 00:00:00+00:00,319
2024-03-22 00:00:00+00:00,320
2024-04-08 00:00:00+00:00,321
2024-04-18 00:00:00+00:00,322
2024-04-26 00:00:00+00:00,324
2024-04-29 00:00:00+00:00,325
2024-05-06 00:00:00+00:00,326
2024-05-07 00:00:00+00:00,327
2024-05-14 00:00:00+00:00,328
2024-05-19 00:00:00+00:00,329
2024-05-22 00:00:00+00:00,330
2024-05-26 00:00:00+00:00,331
2024-05-28 00:00:00+00:00,332
