time_iso8601,stars_cumulative
2020-08-06 00:00:00+00:00,283
2020-08-07 00:00:00+00:00,284
2020-08-08 00:00:00+00:00,285
2020-08-09 00:00:00+00:00,289
2020-08-10 00:00:00+00:00,290
2020-08-14 00:00:00+00:00,291
2020-08-15 00:00:00+00:00,292
2020-08-19 00:00:00+00:00,293
2020-08-22 00:00:00+00:00,294
2020-08-26 00:00:00+00:00,295
2020-08-27 00:00:00+00:00,297
2020-08-28 00:00:00+00:00,298
2020-08-30 00:00:00+00:00,300
2020-08-31 00:00:00+00:00,302
2020-09-01 00:00:00+00:00,304
2020-09-03 00:00:00+00:00,305
2020-09-07 00:00:00+00:00,306
2020-09-09 00:00:00+00:00,307
2020-09-10 00:00:00+00:00,308
2020-09-17 00:00:00+00:00,309
2020-09-23 00:00:00+00:00,310
2020-09-24 00:00:00+00:00,312
2020-10-04 00:00:00+00:00,314
2020-10-05 00:00:00+00:00,315
2020-10-06 00:00:00+00:00,316
2020-10-08 00:00:00+00:00,317
2020-10-09 00:00:00+00:00,318
2020-10-10 00:00:00+00:00,321
2020-10-15 00:00:00+00:00,322
2020-10-19 00:00:00+00:00,326
2020-10-22 00:00:00+00:00,328
2020-10-25 00:00:00+00:00,329
2020-10-26 00:00:00+00:00,330
2020-10-27 00:00:00+00:00,331
2020-10-28 00:00:00+00:00,332
2020-10-29 00:00:00+00:00,333
2020-10-30 00:00:00+00:00,335
2020-11-02 00:00:00+00:00,336
2020-11-03 00:00:00+00:00,337
2020-11-05 00:00:00+00:00,338
2020-11-06 00:00:00+00:00,339
2020-11-09 00:00:00+00:00,341
2020-11-11 00:00:00+00:00,342
2020-11-13 00:00:00+00:00,349
2020-11-18 00:00:00+00:00,350
2020-11-19 00:00:00+00:00,352
2020-11-20 00:00:00+00:00,353
2020-11-21 00:00:00+00:00,354
2020-11-22 00:00:00+00:00,355
2020-11-24 00:00:00+00:00,356
2020-11-26 00:00:00+00:00,357
2020-11-28 00:00:00+00:00,358
2020-11-29 00:00:00+00:00,359
2020-11-30 00:00:00+00:00,360
2020-12-03 00:00:00+00:00,361
2020-12-04 00:00:00+00:00,362
2020-12-09 00:00:00+00:00,364
2020-12-10 00:00:00+00:00,367
2020-12-13 00:00:00+00:00,370
2020-12-14 00:00:00+00:00,372
2020-12-23 00:00:00+00:00,373
2020-12-25 00:00:00+00:00,374
2020-12-27 00:00:00+00:00,375
2021-01-04 00:00:00+00:00,376
2021-01-06 00:00:00+00:00,377
2021-01-07 00:00:00+00:00,379
2021-01-08 00:00:00+00:00,382
2021-01-11 00:00:00+00:00,383
2021-01-13 00:00:00+00:00,385
2021-01-15 00:00:00+00:00,386
2021-01-19 00:00:00+00:00,388
2021-01-20 00:00:00+00:00,389
2021-01-21 00:00:00+00:00,390
2021-01-24 00:00:00+00:00,391
2021-02-01 00:00:00+00:00,392
2021-02-02 00:00:00+00:00,394
2021-02-06 00:00:00+00:00,396
2021-02-07 00:00:00+00:00,397
2021-02-11 00:00:00+00:00,398
2021-02-18 00:00:00+00:00,400
2021-02-19 00:00:00+00:00,401
2021-02-23 00:00:00+00:00,402
2021-02-26 00:00:00+00:00,403
2021-02-27 00:00:00+00:00,404
2021-03-01 00:00:00+00:00,409
2021-03-02 00:00:00+00:00,411
2021-03-03 00:00:00+00:00,413
2021-03-04 00:00:00+00:00,414
2021-03-10 00:00:00+00:00,415
2021-03-12 00:00:00+00:00,416
2021-03-13 00:00:00+00:00,417
2021-03-16 00:00:00+00:00,418
2021-03-18 00:00:00+00:00,419
2021-03-19 00:00:00+00:00,420
2021-03-20 00:00:00+00:00,421
2021-03-21 00:00:00+00:00,422
2021-03-22 00:00:00+00:00,423
2021-03-24 00:00:00+00:00,424
2021-03-25 00:00:00+00:00,425
2021-03-28 00:00:00+00:00,426
2021-04-01 00:00:00+00:00,430
2021-04-02 00:00:00+00:00,432
2021-04-04 00:00:00+00:00,433
2021-04-06 00:00:00+00:00,435
2021-04-07 00:00:00+00:00,436
2021-04-08 00:00:00+00:00,437
2021-04-09 00:00:00+00:00,438
2021-04-11 00:00:00+00:00,439
2021-04-12 00:00:00+00:00,440
2021-04-14 00:00:00+00:00,441
2021-04-17 00:00:00+00:00,442
2021-04-19 00:00:00+00:00,444
2021-04-23 00:00:00+00:00,445
2021-04-27 00:00:00+00:00,446
2021-04-28 00:00:00+00:00,448
2021-04-29 00:00:00+00:00,449
2021-04-30 00:00:00+00:00,450
2021-05-03 00:00:00+00:00,451
2021-05-05 00:00:00+00:00,452
2021-05-07 00:00:00+00:00,453
2021-05-08 00:00:00+00:00,454
2021-05-09 00:00:00+00:00,455
2021-05-12 00:00:00+00:00,457
2021-05-13 00:00:00+00:00,458
2021-05-14 00:00:00+00:00,459
2021-05-16 00:00:00+00:00,460
2021-05-18 00:00:00+00:00,461
2021-05-19 00:00:00+00:00,462
2021-05-20 00:00:00+00:00,464
2021-05-21 00:00:00+00:00,465
2021-05-22 00:00:00+00:00,466
2021-05-24 00:00:00+00:00,467
2021-05-28 00:00:00+00:00,471
2021-05-29 00:00:00+00:00,472
2021-06-02 00:00:00+00:00,473
2021-06-04 00:00:00+00:00,475
2021-06-08 00:00:00+00:00,477
2021-06-10 00:00:00+00:00,478
2021-06-12 00:00:00+00:00,479
2021-06-19 00:00:00+00:00,480
2021-06-26 00:00:00+00:00,481
2021-06-28 00:00:00+00:00,482
2021-07-02 00:00:00+00:00,487
2021-07-04 00:00:00+00:00,488
2021-07-05 00:00:00+00:00,489
2021-07-15 00:00:00+00:00,491
2021-07-20 00:00:00+00:00,492
2021-07-27 00:00:00+00:00,494
2021-07-30 00:00:00+00:00,496
2021-08-02 00:00:00+00:00,497
2021-08-04 00:00:00+00:00,498
2021-08-05 00:00:00+00:00,499
2021-08-14 00:00:00+00:00,500
2021-08-19 00:00:00+00:00,501
2021-08-20 00:00:00+00:00,502
2021-08-23 00:00:00+00:00,504
2021-08-24 00:00:00+00:00,505
2021-08-26 00:00:00+00:00,506
2021-08-27 00:00:00+00:00,507
2021-08-30 00:00:00+00:00,508
2021-08-31 00:00:00+00:00,509
2021-09-01 00:00:00+00:00,510
2021-09-06 00:00:00+00:00,511
2021-09-08 00:00:00+00:00,512
2021-09-09 00:00:00+00:00,514
2021-09-14 00:00:00+00:00,516
2021-09-21 00:00:00+00:00,517
2021-09-22 00:00:00+00:00,519
2021-09-23 00:00:00+00:00,522
2021-09-27 00:00:00+00:00,523
2021-09-29 00:00:00+00:00,524
2021-09-30 00:00:00+00:00,525
2021-10-03 00:00:00+00:00,527
2021-10-04 00:00:00+00:00,528
2021-10-05 00:00:00+00:00,529
2021-10-07 00:00:00+00:00,531
2021-10-09 00:00:00+00:00,533
2021-10-13 00:00:00+00:00,535
2021-10-14 00:00:00+00:00,536
2021-10-18 00:00:00+00:00,537
2021-10-20 00:00:00+00:00,538
2021-10-21 00:00:00+00:00,539
2021-10-22 00:00:00+00:00,540
2021-10-25 00:00:00+00:00,541
2021-10-26 00:00:00+00:00,542
2021-10-27 00:00:00+00:00,543
2021-10-28 00:00:00+00:00,544
2021-10-29 00:00:00+00:00,546
2021-10-30 00:00:00+00:00,547
2021-10-31 00:00:00+00:00,548
2021-11-01 00:00:00+00:00,551
2021-11-02 00:00:00+00:00,552
2021-11-03 00:00:00+00:00,556
2021-11-04 00:00:00+00:00,559
2021-11-05 00:00:00+00:00,563
2021-11-06 00:00:00+00:00,564
2021-11-08 00:00:00+00:00,565
2021-11-11 00:00:00+00:00,567
2021-11-12 00:00:00+00:00,568
2021-11-15 00:00:00+00:00,569
2021-11-16 00:00:00+00:00,573
2021-11-17 00:00:00+00:00,575
2021-11-18 00:00:00+00:00,577
2021-11-19 00:00:00+00:00,578
2021-11-20 00:00:00+00:00,579
2021-11-23 00:00:00+00:00,581
2021-11-24 00:00:00+00:00,583
2021-11-25 00:00:00+00:00,585
2021-11-26 00:00:00+00:00,586
2021-11-27 00:00:00+00:00,587
2021-11-28 00:00:00+00:00,589
2021-11-30 00:00:00+00:00,590
2021-12-03 00:00:00+00:00,593
2021-12-04 00:00:00+00:00,594
2021-12-05 00:00:00+00:00,596
2021-12-06 00:00:00+00:00,597
2021-12-07 00:00:00+00:00,599
2021-12-09 00:00:00+00:00,601
2021-12-10 00:00:00+00:00,602
2021-12-11 00:00:00+00:00,603
2021-12-13 00:00:00+00:00,605
2021-12-15 00:00:00+00:00,606
2021-12-17 00:00:00+00:00,607
2021-12-20 00:00:00+00:00,609
2021-12-21 00:00:00+00:00,610
2021-12-23 00:00:00+00:00,613
2021-12-24 00:00:00+00:00,619
